"";"BirdId";"MS";"TA";"BH";"LogitH";"H";"LogitB";"B";"HT";"WL";"YP";"SY";"CL";"LogitSurvWS";"U";"TH";"SurvWS";"HS";"LS";"CS";"Cort";"Cho";"DS";"AgeN";"SexN";"Sex";"Age";"MonthNum";"Density";"Latitude";"Longitude";"ObsCatchNr";"Area";"Catching_loc";"CapDate";"SampleYear"
"423";"462";523;98;3,5;-0,40149422280569;0,4009533898;-5,13953496861791;0,00582627;0,103472222;NA;2;"2017_2018";"Vlieland";1,98733774499259;NA;122,5999985;0,879461199;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,6336299464449;53,2480011;4,960999966;"66902233";"Vlieland, Vliehors, Kwelder ten zuiden van Kroonpolders";"Vlieland";"18-12-2017";"2017_2018"
"557";"709";643;102;2,200000048;0,142804173887491;0,5356404959;-5,03617307792275;0,00645661157;0,153472222;272;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,858;127,4000015;0,748643373;59,3;66,7;85,8;7,675650479;9,1;111;3;1;"F";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"608";"764";751;97;3;-0,156235183189848;0,461020461;-4,91919855548416;0,00725200725;0,050694444;274;2;"2016_2017";"Balgzand&Texel";1,90010529952185;0,653;129;0,869903443;68,3;72;83;1,759301731;6,2;119;3;1;"F";"Adult";4;13,5771660679298;53,01968765;4,804700851;"66900365";"Molenkolk Texel";"Balgzand&Texel";"28-2-2017";"2016_2017"
"1092";"1828";607;97;3,299999952;-0,307645212094878;0,4236896197;-5,08243902543033;0,00616649538;0,169444444;263;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,332;117,9000015;0,748643373;65;70,1;83,7;14,34610312;8,4;111;3;1;"F";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1093";"2403";578;98;5,099999905;-0,305132179686195;0,4243033611;-5,51198761523713;0,00402183281;0,190277778;262;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,395;120,5999985;0,748643373;59;66,5;86;11,19727674;6,3;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1094";"3510";532;94;5,300000191;NA;NA;NA;NA;0,196527778;258;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,361;114,5;0,748643373;61,3;67,8;85;7,829327956;9,4;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1095";"3541";525;93;4,800000191;-0,221011101695946;0,4449710374;-5,19216288469311;0,00552922591;0,161111111;268;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,481;114,8000031;0,748643373;66,8;71,2;83,3;14,78752141;7,5;111;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1096";"4750";498;92;3,599999905;NA;NA;NA;NA;0,179166667;262;2;"2016_2017";"Balgzand&Texel";1,90010529952185;NA;111,4000015;0,869903443;59,3;66,7;85,8;3,177440708;NA;119;3;2;"M";"Adult";4;13,5771660679298;53,01968765;4,804700851;"66900365";"Molenkolk Texel";"Balgzand&Texel";"28-2-2017";"2016_2017"
"1097";"5303";539;98;3,5;-0,468671866627986;0,3849306431;-4,8353290721317;0,0078814628;0,104861111;275;2;"2017_2018";"Oosterschelde";2,43187440190775;0,226;122,1999969;0,919225816;64,7;69,9;83,8;7,923705647;5,9;90;3;1;"F";"Adult";3;123,628156733349;51,54185104;3,900662899;"66902257";"Schor Wilhelminapolder, Zeeland";"Oosterschelde";"30-1-2018";"2017_2018"
"1098";"5361";673;97;3,5;-0,174879032635693;0,4563913244;-5,1906393524817;0,0055376096;0,177777778;270;2;"2016_2017";"Vlieland";1,02065131851582;1,398;128,3000031;0,735099449;NA;NA;NA;NA;6,7;77;3;1;"F";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1099";"5563";541;94;NA;0,00535556160066592;0,5013388872;-5,16988573010323;0,00565307944;0,076388889;264;2;"2017_2018";"Balgzand&Texel";2,11612961784751;0,114;132,5;0,892461036;69;72,5;82,9;9,881226544;12,9;86;3;1;"F";"Adult";3;254,548737197427;52,93050003;4,794599056;"66902247";"Balgzand, 't Kuitje, Den Helder";"Balgzand&Texel";"26-1-2018";"2017_2018"
"1100";"5956";624;97;4,900000095;0,0714589641537927;0,5178571429;-5,13312105852969;0,00586353945;0,155555556;283;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,76;117,3000031;0,748643373;70,5;73,4;82,7;7,378363519;8,4;111;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1101";"6142";560;98;4,300000191;-0,175772744808658;0,4561696046;-4,91174584428038;0,00730585993;0,09375;258;2;"2016_2017";"Schiermonnikoog";1,78867148944042;0,566;118,9000015;0,85676432;69,4;72,7;82,8;6,23622323;6,3;85;3;2;"M";"Adult";3;108,317050907919;53,47658157;6,229321957;"66900335";"Schiermonnikoog 2e slenk";"Schiermonnikoog";"25-1-2017";"2016_2017"
"1102";"6146";529;94;4,800000191;-0,168360067676255;0,4580091226;-5,12639608467456;0,00590287094;0,190972222;260;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,594;116,8000031;0,748643373;58,7;66,3;86,1;13,35858141;7,2;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1103";"6351";520;95;3,299999952;-0,249589073151411;0,4379246448;-5,37001768089943;0,00463248919;0,106944444;274;2;"2017_2018";"Oosterschelde";2,43187440190775;0,368;115,9000015;0,919225816;65,8;70,5;83,5;10,92180975;6;90;3;2;"M";"Adult";3;123,628156733349;51,54185104;3,900662899;"66902257";"Schor Wilhelminapolder, Zeeland";"Oosterschelde";"30-1-2018";"2017_2018"
"1104";"6854";554;95;5,300000191;NA;NA;NA;NA;0,086805556;254;2;"2017_2018";"Oosterschelde";2,43187440190775;0,697;118,4000015;0,919225816;65,4;70,3;83,6;10,78336029;5,7;79;3;2;"M";"Adult";3;69,9158399753538;51,68503571;3,847695112;"66902248";"Prunjepolder, Oosterschelde";"Oosterschelde";"19-1-2018";"2017_2018"
"1105";"7154";492;100;3;NA;NA;NA;NA;0,104166667;267;2;"2017_2018";"Oosterschelde";2,43187440190775;0,312;112,8000031;0,919225816;69,4;72,7;82,8;34,64401789;6,1;79;3;2;"M";"Adult";3;69,9158399753538;51,68503571;3,847695112;"66902248";"Prunjepolder, Oosterschelde";"Oosterschelde";"19-1-2018";"2017_2018"
"1106";"7500";484;94;4,699999809;NA;NA;NA;NA;0,198611111;260;2;"2017_2018";"Schiermonnikoog";1,09138997719443;NA;111,4000015;0,748643373;64,3;69,7;83,9;10,75743357;NA;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1107";"7501";534;94;4,5;-0,301511301114784;0,4251880747;-4,95976296303048;0,00696572862;0,215277778;275;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,437;107;0,748643373;67,2;71,4;83,2;10,14272879;7;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1108";"7506";544;98;3;NA;NA;NA;NA;0,149305556;262;2;"2017_2018";"Schiermonnikoog";2,40158001203756;0,501;120,4000015;0,916947708;68,3;NA;83;11,0950968;5,1;111;2;1;"F";"Sub-Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1109";"7998";510;92;4,5;-0,0762639783573766;0,480943241;-4,89839243816847;0,00740334522;0,19375;259;2;"2017_2018";"Schiermonnikoog";1,09138997719443;NA;114,0999985;0,748643373;67,6;71,6;83,1;17,71055837;6,5;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1110";"8066";512;96;4,599999905;-0,262563355371611;0,4347336834;-5,31849699765791;0,00487621905;0,109027778;266;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;116,5999985;0,919225816;59;66,5;86;9,048536844;NA;90;3;2;"M";"Adult";3;123,628156733349;51,54185104;3,900662899;"66902257";"Schor Wilhelminapolder, Zeeland";"Oosterschelde";"30-1-2018";"2017_2018"
"1111";"8082";552;94;6,400000095;-0,26724044494986;0,4335846868;-4,9605109075716;0,00696055684;0,189583333;258;2;"2017_2018";"Oosterschelde";2,43187440190775;0,354;119;0,919225816;64;69,5;84;16,2065093;7,2;79;3;2;"M";"Adult";3;69,9158399753538;51,68503571;3,847695112;"66902248";"Prunjepolder, Oosterschelde";"Oosterschelde";"19-1-2018";"2017_2018"
"1112";"8219";550;97;3;-0,200457145822344;0,4500528541;-4,93553918012173;0,00713530655;0,061805556;263;2;"2017_2018";"Vlieland";0,840217338366433;NA;125,0999985;0,698510988;NA;NA;NA;NA;NA;47;2;1;"F";"Sub-Adult";2;69,6336299464449;53,2480011;4,960999966;"66902233";"Vlieland, Vliehors, Kwelder ten zuiden van Kroonpolders";"Vlieland";"18-12-2017";"2017_2018"
"1113";"8349";510;93;5,800000191;NA;NA;NA;NA;0,238194444;263;2;"2017_2018";"Oosterschelde";2,43187440190775;0,368;123,3000031;0,919225816;65,4;70,3;83,6;13,20777912;7,3;79;3;1;"F";"Adult";3;69,9158399753538;51,68503571;3,847695112;"66902248";"Prunjepolder, Oosterschelde";"Oosterschelde";"19-1-2018";"2017_2018"
"1114";"8634";587;102;4,599999905;-0,0786477419599365;0,4803481931;-4,83124277719827;0,00791347929;0,158333333;264;2;"2017_2018";"Schiermonnikoog";2,40158001203756;0,545;111;0,916947708;61,1;65,2;82,5;14,41234264;6,8;111;2;2;"M";"Sub-Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1115";"8889";551;97;3,700000048;0,0231819781184035;0,505795235;-5,20238934837854;0,00547327753;0,145138889;264;2;"2017_2018";"Ameland";1,42864570365016;1,911;124,8000031;0,806690213;65,8;66,1;79,3;8,523515198;6,8;81;2;1;"F";"Sub-Adult";3;119,727926053428;53,42425156;5,67238903;"66902249";"Ameland, Vogelpolle";"Ameland";"21-1-2018";"2017_2018"
"1116";"8922";678;101;5,099999905;NA;NA;NA;NA;0,041666667;270;2;"2016_2017";"Vlieland";1,02432486911805;NA;113,5;0,735814175;NA;NA;NA;NA;NA;31;2;2;"M";"Sub-Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1117";"8923";679;102;4,699999809;NA;NA;NA;NA;0,045138889;256;2;"2016_2017";"Vlieland";1,02432486911805;NA;113,5999985;0,735814175;NA;NA;NA;NA;NA;31;2;2;"M";"Sub-Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1118";"8924";599;95;3,299999952;NA;NA;NA;NA;0,048611111;257;2;"2016_2017";"Vlieland";1,02065131851582;NA;120,9000015;0,735099449;NA;NA;NA;NA;NA;31;3;1;"F";"Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1119";"8925";555;95;4,400000095;NA;NA;NA;NA;0,051388889;NA;2;"2016_2017";"Vlieland";1,02432486911805;NA;114,0999985;0,735814175;NA;NA;NA;NA;NA;31;2;2;"M";"Sub-Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1120";"8926";642;94;5,400000095;NA;NA;NA;NA;0,054861111;272;2;"2016_2017";"Vlieland";1,02432486911805;NA;108,9000015;0,735814175;NA;NA;NA;NA;NA;31;2;2;"M";"Sub-Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1121";"8927";572;101;4,699999809;NA;NA;NA;NA;0,0375;258;2;"2016_2017";"Vlieland";1,02432486911805;NA;118,6999969;0,735814175;NA;NA;NA;NA;NA;31;2;2;"M";"Sub-Adult";2;71,7787998384328;53,24000168;4,949999809;"66900281";"Vlieland, Vliehors Kazerne";"Vlieland";"2-12-2016";"2016_2017"
"1122";"8928";743;105;3,5;NA;NA;NA;NA;0,031944444;274;2;"2016_2017";"Vlieland";NA;NA;125,5;NA;NA;NA;NA;NA;NA;32;1;1;"F";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900282";"Vlieland, Vliehors Kazerne";"Vlieland";"3-12-2016";"2016_2017"
"1123";"8929";583;97;4,900000095;NA;NA;NA;NA;0,039583333;253;2;"2016_2017";"Vlieland";NA;NA;115,3000031;NA;NA;NA;NA;NA;NA;32;1;2;"M";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900282";"Vlieland, Vliehors Kazerne";"Vlieland";"3-12-2016";"2016_2017"
"1124";"8930";514;93;3,5;NA;NA;NA;NA;0,034722222;247;2;"2016_2017";"Vlieland";NA;NA;119,9000015;NA;NA;NA;NA;NA;NA;32;1;1;"F";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900282";"Vlieland, Vliehors Kazerne";"Vlieland";"3-12-2016";"2016_2017"
"1125";"8931";591;96;4,599999905;NA;NA;NA;NA;0,028472222;252;2;"2016_2017";"Vlieland";NA;NA;111,3000031;NA;NA;NA;NA;NA;NA;32;1;2;"M";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900282";"Vlieland, Vliehors Kazerne";"Vlieland";"3-12-2016";"2016_2017"
"1126";"8932";568;98;4,900000095;NA;NA;NA;NA;0,036111111;268;2;"2016_2017";"Vlieland";1,02065131851582;NA;124,0999985;0,735099449;NA;NA;NA;NA;NA;32;3;1;"F";"Adult";2;71,7787998384328;53,24000168;4,949999809;"66900282";"Vlieland, Vliehors Kazerne";"Vlieland";"3-12-2016";"2016_2017"
"1127";"8933";602;98;3;NA;NA;NA;NA;0,025;259;2;"2016_2017";"Vlieland";NA;NA;126,5;NA;NA;NA;NA;NA;NA;33;1;1;"F";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900283";"Vlieland, Vliehors Kazerne";"Vlieland";"4-12-2016";"2016_2017"
"1128";"8934";545;97;4,199999809;NA;NA;NA;NA;0,027777778;255;2;"2016_2017";"Vlieland";NA;NA;120,0999985;NA;NA;NA;NA;NA;NA;33;1;1;"F";"1st CY";2;71,7787998384328;53,24000168;4,949999809;"66900283";"Vlieland, Vliehors Kazerne";"Vlieland";"4-12-2016";"2016_2017"
"1129";"8935";603;93;3,5;NA;NA;NA;NA;0,022916667;257;2;"2016_2017";"Vlieland";1,02065131851582;NA;126,0999985;0,735099449;NA;NA;NA;NA;NA;34;3;1;"F";"Adult";2;71,7787998384328;53,24000168;4,949999809;"66900284";"Vlieland, Vliehors Kazerne";"Vlieland";"5-12-2016";"2016_2017"
"1130";"8936";589;95;4,699999809;NA;NA;NA;NA;0,03125;252;2;"2016_2017";"Vlieland";NA;NA;115;NA;NA;NA;NA;NA;NA;47;1;2;"M";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1131";"8937";680;99;4,699999809;NA;NA;NA;NA;0,020138889;271;2;"2016_2017";"Vlieland";1,02432486911805;NA;123,5999985;0,735814175;NA;NA;NA;NA;NA;47;2;1;"F";"Sub-Adult";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1132";"8938";707;96;3,400000095;NA;NA;NA;NA;0,023611111;262;2;"2016_2017";"Vlieland";1,02065131851582;NA;127;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1133";"8939";685;95;4,199999809;NA;NA;NA;NA;0,034722222;263;2;"2016_2017";"Vlieland";1,02432486911805;NA;121,1999969;0,735814175;NA;NA;NA;NA;NA;47;2;1;"F";"Sub-Adult";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1134";"8940";640;100;2,700000048;NA;NA;NA;NA;0,026388889;280;2;"2016_2017";"Vlieland";1,02065131851582;NA;129,3999939;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1135";"8941";742;98;4,800000191;NA;NA;NA;NA;0,027777778;265;2;"2016_2017";"Vlieland";1,02065131851582;NA;130,5;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900285";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1136";"8942";591;98;4,300000191;NA;NA;NA;NA;0,052083333;252;2;"2016_2017";"Vlieland";1,02065131851582;NA;115,5;0,735099449;NA;NA;NA;NA;NA;47;3;2;"M";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1137";"8943";655;97;4,800000191;NA;NA;NA;NA;0,074305556;257;2;"2016_2017";"Vlieland";1,02065131851582;NA;117,8000031;0,735099449;NA;NA;NA;NA;NA;47;3;2;"M";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1138";"8944";598;91;4,900000095;NA;NA;NA;NA;0,070833333;251;2;"2016_2017";"Vlieland";NA;NA;105,8000031;NA;NA;NA;NA;NA;NA;47;1;2;"M";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1139";"8945";645;98;4,099999905;NA;NA;NA;NA;0,06875;274;2;"2016_2017";"Vlieland";1,02065131851582;NA;124,5999985;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1140";"8946";580;96;4,699999809;NA;NA;NA;NA;0,065972222;247;2;"2016_2017";"Vlieland";NA;NA;119,8000031;NA;NA;NA;NA;NA;NA;47;1;2;"M";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1141";"8947";612;97;2,5;NA;NA;NA;NA;0,0625;258;2;"2016_2017";"Vlieland";1,02432486911805;NA;135,3999939;0,735814175;NA;NA;NA;NA;NA;47;2;1;"F";"Sub-Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1142";"8948";641;106;NA;NA;NA;NA;NA;0,05625;266;2;"2016_2017";"Vlieland";1,02065131851582;NA;142;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1143";"8949";774;105;4,900000095;NA;NA;NA;NA;0,046527778;268;2;"2016_2017";"Vlieland";1,02065131851582;NA;123,8000031;0,735099449;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1144";"8950";651;100;5,099999905;NA;NA;NA;NA;0,04375;264;2;"2016_2017";"Vlieland";1,02432486911805;NA;119,6999969;0,735814175;NA;NA;NA;NA;NA;47;2;2;"M";"Sub-Adult";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1145";"8951";679;99;3,5;NA;NA;NA;NA;0,040277778;259;2;"2016_2017";"Vlieland";NA;NA;127,1999969;NA;NA;NA;NA;NA;NA;47;1;1;"F";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1146";"8952";561;98;4;NA;NA;NA;NA;0,038888889;257;2;"2016_2017";"Vlieland";NA;NA;120,9000015;NA;NA;NA;NA;NA;NA;47;1;1;"F";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1147";"8953";541;97;3,700000048;NA;NA;NA;NA;0,036111111;256;2;"2016_2017";"Vlieland";NA;NA;124,5;NA;NA;NA;NA;NA;NA;47;1;1;"F";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1148";"8954";569;91;4,699999809;NA;NA;NA;NA;0,059027778;258;2;"2016_2017";"Vlieland";NA;NA;108,5;NA;NA;NA;NA;NA;NA;47;1;2;"M";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900286";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1149";"8955";528;97;4,5;NA;NA;NA;NA;0,014583333;252;2;"2016_2017";"Vlieland";NA;NA;108,8000031;NA;NA;NA;NA;NA;NA;47;1;2;"M";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900287";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"18-12-2016";"2016_2017"
"1150";"8956";652;99;4,099999905;NA;NA;NA;NA;0,022222222;251;2;"2016_2017";"Vlieland";NA;NA;128,8000031;NA;NA;NA;NA;NA;NA;48;1;1;"F";"1st CY";2;69,8719827372067;53,24900055;4,974999905;"66900288";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"19-12-2016";"2016_2017"
"1151";"8988";557;98;5,699999809;-0,0801204834355824;0,4799805872;-5,27421981530785;0,00509585052;0,067361111;260;2;"2016_2017";"Vlieland";1,02065131851582;0,859;118,0999985;0,735099449;NA;NA;NA;NA;5;76;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900332";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"16-1-2017";"2016_2017"
"1152";"8989";559;95;4,900000095;-0,12826051674036;0,4679787566;-4,84450199704085;0,00781005936;0,064583333;255;2;"2016_2017";"Vlieland";1,02432486911805;0,561;112,0999985;0,735814175;NA;NA;NA;NA;4,7;76;2;2;"M";"Sub-Adult";3;71,7787998384328;53,24000168;4,949999809;"66900332";"Vlieland, Vliehors hoek Posthuiswad";"Vlieland";"16-1-2017";"2016_2017"
"1153";"8990";522;99;4;-0,387197232095209;0,4043921917;-4,74135830299003;0,0086512866;0,197916667;268;2;"2016_2017";"Vlieland";1,02065131851582;0,355;127,0999985;0,735099449;NA;NA;NA;NA;6,8;77;3;1;"F";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1154";"8991";571;98;4,199999809;-0,302095544934328;0,4250452899;-4,91998092604973;0,00724637681;0,215972222;276;2;"2016_2017";"Vlieland";1,02065131851582;0,583;114,4000015;0,735099449;NA;NA;NA;NA;6,4;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1155";"8992";567;102;3,5;-0,108648978198043;0,4728644439;-4,33766063202377;0,01289851545;0,214583333;264;2;"2016_2017";"Vlieland";1,02432486911805;0,684;121,3000031;0,735814175;NA;NA;NA;NA;5,5;77;2;1;"F";"Sub-Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1156";"8993";591;103;5,199999809;NA;NA;NA;NA;0,2125;273;2;"2016_2017";"Vlieland";1,02065131851582;0,803;121,1999969;0,735099449;NA;NA;NA;NA;7;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1157";"8994";570;98;4,400000095;-0,0222726354870591;0,4944320713;-4,81803890960482;0,00801781737;0,209722222;251;2;"2016_2017";"Vlieland";1,02432486911805;0,463;121,4000015;0,735814175;NA;NA;NA;NA;6,1;77;2;2;"M";"Sub-Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1158";"8995";611;95;4,5;0,0265097792104811;0,5066270567;-4,91081495875864;0,00731261426;0,205555556;262;2;"2016_2017";"Vlieland";1,02432486911805;0,923;117,4000015;0,735814175;NA;NA;NA;NA;7,7;77;2;2;"M";"Sub-Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1159";"8996";586;99;4,5;-0,268016277833444;0,4333941606;-4,91265488614907;0,00729927007;0,204166667;265;2;"2016_2017";"Vlieland";1,02065131851582;0,641;118,5999985;0,735099449;NA;NA;NA;NA;7,1;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1160";"8997";602;96;5,900000095;NA;NA;NA;NA;0,256944444;267;2;"2016_2017";"Vlieland";1,02065131851582;NA;117;0,735099449;NA;NA;NA;NA;NA;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1161";"8998";630;98;3,799999952;NA;NA;NA;NA;0,199305556;263;2;"2016_2017";"Vlieland";1,02065131851582;0,398;120;0,735099449;NA;NA;NA;NA;6,7;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
"1162";"8999";599;95;5,199999809;-0,0593262014438253;0,4851727982;-5,03471095167444;0,00646599777;0,222222222;263;2;"2016_2017";"Vlieland";1,02065131851582;0,545;115,3000031;0,735099449;NA;NA;NA;NA;6,7;77;3;2;"M";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
